,EmployerName,MinPositionSalary,MaxPositionSalary,OvertimePay,LumpSumPay,OtherPay,EmployeesRetirementCostCovered,HealthDentalVision,PensionFormula,EmployerURL,EmployerCounty,TotalWages
113431,"State University, San Marcos",30024,108996,0,11681.41,22.5,0,8987.2,2.00% @ 62,http://www.csusm.edu/HR/,San Diego,39407.05
57727,"State University, Long Beach",22879.56,38749.56,0,0,802.5,0,0,,http://daf.csulb.edu/offices/bhr/,Los Angeles,802.5
33200,"State University, East Bay",22879.56,38749.56,0,0,2958.94,0,0,,http://www.csueastbay.edu/af/departments/hr/,Alameda,2958.94
104408,"State University, San Francisco",22879.56,38749.56,0,0,1374.85,0,0,,http://www.sfsu.edu/~hrwww/,San Francisco,1374.85
12436,"State Polytech University, San Luis Obispo",22879.56,38749.56,0,0,3663,0,0,,http://www.afd.calpoly.edu/hr/,San Luis Obispo,3663
27032,"State University, Dominguez Hills",28079.4,41432.76,0,0,0,0,0,,https://www.csudh.edu/hr/,Los Angeles,2327.3
115033,"State University, San Marcos",59076,131088,0,0,1405.07,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://www.csusm.edu/HR/,San Diego,8430.42
8265,"State Polytech University, San Luis Obispo",85188,150792,0,0,9350,0,89.64,,http://www.afd.calpoly.edu/hr/,San Luis Obispo,56100
17145,"State University, Bakersfield",22879.56,38749.56,0,0,7192.24,0,0,,http://www.csub.edu/BAS/hr/,Kern,7192.24
11424,"State Polytech University, San Luis Obispo",22879.56,38749.56,0,0,954,0,0,,http://www.afd.calpoly.edu/hr/,San Luis Obispo,1572
112142,"State University, San Jose",22879.56,38749.56,0,0,10800.09,0,0,,http://www2.sjsu.edu/hr/,Santa Clara,10800.09
85136,"State University, San Bernardino",28079.4,41432.76,0,0,0,0,0,,http://hrd.csusb.edu/,San Bernardino,1189.5
42491,"State University, Fullerton",28079.4,41432.76,0,0,0,0,0,,http://hr.fullerton.edu/,Orange,1522.8
64882,"State University, Los Angeles",22879.56,38749.56,0,0,2310,0,0,,http://www.calstatela.edu/hrm,Los Angeles,2310
15561,"State University, Bakersfield",59076,131088,0,0,7450.8,0,9319.08,2.00% @ 62,http://www.csub.edu/BAS/hr/,Kern,77583.68
3803,"State Polytech University, Pomona",59076,131088,0,0,-57.76,0,4385.52,2.00% @ 55,http://www.cpp.edu/~hr/index.shtml,Los Angeles,5857.92
9360,"State Polytech University, San Luis Obispo",28079.4,41432.76,0,0,0,0,0,,http://www.afd.calpoly.edu/hr/,San Luis Obispo,972.4
101526,"State University, San Francisco",59076,131088,0,0,11669.67,0,9237.72,2.00% @ 55,http://www.sfsu.edu/~hrwww/,San Francisco,52161.2
85665,"State University, San Bernardino",49512,66192,0,0,8503.48,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://hrd.csusb.edu/,San Bernardino,23459.23
103086,"State University, San Francisco",22879.56,38749.56,0,0,2000,0,0,,http://www.sfsu.edu/~hrwww/,San Francisco,2000
